model,FAD,n_references,n_estimates
anchor,93.67669200640233,6,6
dv2,39.84283108096865,6,6
htdemucs,30.256153172694383,6,6
reference,-1.771154845187084e-05,6,6
spleeter,47.236585920027615,6,6
