track,stem_type,ref_db,htd_db,difference_db
nogravity_drums,drums,-20.436360345223108,-16.2548787325239,4.1814816126992085
monstaclat_drums,drums,-21.315019666284467,-14.844034292802817,6.47098537348165
dropnoir_drums,drums,-21.667080985905024,-17.352714157022316,4.314366828882708
celebrate_bass,bass,-22.25415188007283,-22.290976320782505,-0.036824440709676054
jackiesgarage_bass,bass,-30.72081904974471,-16.777026746909065,13.943792302835643
thisfeeling_bass,bass,-24.27088561660067,-16.19934851767112,8.07153709892955
