model,MUSHRA,FAD_VGGish,FAD_PANN
htdemucs,0.6457861923545487,3.722510679712414,30.256151470914
dv2,0.1380594345997358,4.0467930483601595,39.8428300891966
spleeter,-0.07167195461115389,3.8105519724679713,47.2365843964398
anchor,-1.412094615417574,14.047346240674548,93.6766916874195
