model,FAD,n_references,n_estimates
anchor,14.047346240674548,6,6
dv2,4.0467930483601595,6,6
htdemucs,3.722510679712414,6,6
reference,-2.512052645897711e-07,6,6
spleeter,3.8105519724679713,6,6
