model,FAD,n_references,n_estimates
anchor,93.67669168741959,6,6
dv2,39.84283008919667,6,6
htdemucs,30.256151470914034,6,6
reference,-2.0149849127903963e-05,6,6
spleeter,47.236584396439824,6,6
